generator: Rigol Technologies,DG1022Z,DG1ZA192101852,00.01.12
[1/250] sine 10000 Hz, 50.000 mVpp
[2/250] sine 10000 Hz, 100.000 mVpp
[3/250] sine 10000 Hz, 150.000 mVpp
[4/250] sine 10000 Hz, 200.000 mVpp
[5/250] sine 10000 Hz, 250.000 mVpp
[6/250] sine 20000 Hz, 50.000 mVpp
[7/250] sine 20000 Hz, 100.000 mVpp
[8/250] sine 20000 Hz, 150.000 mVpp
[9/250] sine 20000 Hz, 200.000 mVpp
[10/250] sine 20000 Hz, 250.000 mVpp
[11/250] sine 30000 Hz, 50.000 mVpp
[12/250] sine 30000 Hz, 100.000 mVpp
[13/250] sine 30000 Hz, 150.000 mVpp
[14/250] sine 30000 Hz, 200.000 mVpp
[15/250] sine 30000 Hz, 250.000 mVpp
[16/250] sine 40000 Hz, 50.000 mVpp
[17/250] sine 40000 Hz, 100.000 mVpp
[18/250] sine 40000 Hz, 150.000 mVpp
[19/250] sine 40000 Hz, 200.000 mVpp
[20/250] sine 40000 Hz, 250.000 mVpp
[21/250] sine 50000 Hz, 50.000 mVpp
[22/250] sine 50000 Hz, 100.000 mVpp
[23/250] sine 50000 Hz, 150.000 mVpp
[24/250] sine 50000 Hz, 200.000 mVpp
[25/250] sine 50000 Hz, 250.000 mVpp
[26/250] sine 60000 Hz, 50.000 mVpp
[27/250] sine 60000 Hz, 100.000 mVpp
[28/250] sine 60000 Hz, 150.000 mVpp
[29/250] sine 60000 Hz, 200.000 mVpp
[30/250] sine 60000 Hz, 250.000 mVpp
[31/250] sine 70000 Hz, 50.000 mVpp
[32/250] sine 70000 Hz, 100.000 mVpp
[33/250] sine 70000 Hz, 150.000 mVpp
[34/250] sine 70000 Hz, 200.000 mVpp
[35/250] sine 70000 Hz, 250.000 mVpp
[36/250] sine 80000 Hz, 50.000 mVpp
[37/250] sine 80000 Hz, 100.000 mVpp
[38/250] sine 80000 Hz, 150.000 mVpp
[39/250] sine 80000 Hz, 200.000 mVpp
[40/250] sine 80000 Hz, 250.000 mVpp
[41/250] sine 90000 Hz, 50.000 mVpp
[42/250] sine 90000 Hz, 100.000 mVpp
[43/250] sine 90000 Hz, 150.000 mVpp
[44/250] sine 90000 Hz, 200.000 mVpp
[45/250] sine 90000 Hz, 250.000 mVpp
[46/250] sine 100000 Hz, 50.000 mVpp
[47/250] sine 100000 Hz, 100.000 mVpp
[48/250] sine 100000 Hz, 150.000 mVpp
[49/250] sine 100000 Hz, 200.000 mVpp
[50/250] sine 100000 Hz, 250.000 mVpp
[51/250] sine 110000 Hz, 50.000 mVpp
[52/250] sine 110000 Hz, 100.000 mVpp
[53/250] sine 110000 Hz, 150.000 mVpp
[54/250] sine 110000 Hz, 200.000 mVpp
[55/250] sine 110000 Hz, 250.000 mVpp
[56/250] sine 120000 Hz, 50.000 mVpp
[57/250] sine 120000 Hz, 100.000 mVpp
[58/250] sine 120000 Hz, 150.000 mVpp
[59/250] sine 120000 Hz, 200.000 mVpp
[60/250] sine 120000 Hz, 250.000 mVpp
[61/250] sine 130000 Hz, 50.000 mVpp
[62/250] sine 130000 Hz, 100.000 mVpp
[63/250] sine 130000 Hz, 150.000 mVpp
[64/250] sine 130000 Hz, 200.000 mVpp
[65/250] sine 130000 Hz, 250.000 mVpp
[66/250] sine 140000 Hz, 50.000 mVpp
[67/250] sine 140000 Hz, 100.000 mVpp
[68/250] sine 140000 Hz, 150.000 mVpp
[69/250] sine 140000 Hz, 200.000 mVpp
[70/250] sine 140000 Hz, 250.000 mVpp
[71/250] sine 150000 Hz, 50.000 mVpp
[72/250] sine 150000 Hz, 100.000 mVpp
[73/250] sine 150000 Hz, 150.000 mVpp
[74/250] sine 150000 Hz, 200.000 mVpp
[75/250] sine 150000 Hz, 250.000 mVpp
[76/250] sine 160000 Hz, 50.000 mVpp
[77/250] sine 160000 Hz, 100.000 mVpp
[78/250] sine 160000 Hz, 150.000 mVpp
[79/250] sine 160000 Hz, 200.000 mVpp
[80/250] sine 160000 Hz, 250.000 mVpp
[81/250] sine 170000 Hz, 50.000 mVpp
[82/250] sine 170000 Hz, 100.000 mVpp
[83/250] sine 170000 Hz, 150.000 mVpp
[84/250] sine 170000 Hz, 200.000 mVpp
[85/250] sine 170000 Hz, 250.000 mVpp
[86/250] sine 180000 Hz, 50.000 mVpp
[87/250] sine 180000 Hz, 100.000 mVpp
[88/250] sine 180000 Hz, 150.000 mVpp
[89/250] sine 180000 Hz, 200.000 mVpp
[90/250] sine 180000 Hz, 250.000 mVpp
[91/250] sine 190000 Hz, 50.000 mVpp
[92/250] sine 190000 Hz, 100.000 mVpp
[93/250] sine 190000 Hz, 150.000 mVpp
[94/250] sine 190000 Hz, 200.000 mVpp
[95/250] sine 190000 Hz, 250.000 mVpp
[96/250] sine 200000 Hz, 50.000 mVpp
[97/250] sine 200000 Hz, 100.000 mVpp
[98/250] sine 200000 Hz, 150.000 mVpp
[99/250] sine 200000 Hz, 200.000 mVpp
[100/250] sine 200000 Hz, 250.000 mVpp
[101/250] sine 210000 Hz, 50.000 mVpp
[102/250] sine 210000 Hz, 100.000 mVpp
[103/250] sine 210000 Hz, 150.000 mVpp
[104/250] sine 210000 Hz, 200.000 mVpp
[105/250] sine 210000 Hz, 250.000 mVpp
[106/250] sine 220000 Hz, 50.000 mVpp
[107/250] sine 220000 Hz, 100.000 mVpp
[108/250] sine 220000 Hz, 150.000 mVpp
[109/250] sine 220000 Hz, 200.000 mVpp
[110/250] sine 220000 Hz, 250.000 mVpp
[111/250] sine 230000 Hz, 50.000 mVpp
[112/250] sine 230000 Hz, 100.000 mVpp
[113/250] sine 230000 Hz, 150.000 mVpp
[114/250] sine 230000 Hz, 200.000 mVpp
[115/250] sine 230000 Hz, 250.000 mVpp
[116/250] sine 240000 Hz, 50.000 mVpp
[117/250] sine 240000 Hz, 100.000 mVpp
[118/250] sine 240000 Hz, 150.000 mVpp
[119/250] sine 240000 Hz, 200.000 mVpp
[120/250] sine 240000 Hz, 250.000 mVpp
[121/250] sine 250000 Hz, 50.000 mVpp
[122/250] sine 250000 Hz, 100.000 mVpp
[123/250] sine 250000 Hz, 150.000 mVpp
[124/250] sine 250000 Hz, 200.000 mVpp
[125/250] sine 250000 Hz, 250.000 mVpp
[126/250] sine 260000 Hz, 50.000 mVpp
[127/250] sine 260000 Hz, 100.000 mVpp
[128/250] sine 260000 Hz, 150.000 mVpp
[129/250] sine 260000 Hz, 200.000 mVpp
[130/250] sine 260000 Hz, 250.000 mVpp
[131/250] sine 270000 Hz, 50.000 mVpp
[132/250] sine 270000 Hz, 100.000 mVpp
[133/250] sine 270000 Hz, 150.000 mVpp
[134/250] sine 270000 Hz, 200.000 mVpp
[135/250] sine 270000 Hz, 250.000 mVpp
[136/250] sine 280000 Hz, 50.000 mVpp
[137/250] sine 280000 Hz, 100.000 mVpp
[138/250] sine 280000 Hz, 150.000 mVpp
[139/250] sine 280000 Hz, 200.000 mVpp
[140/250] sine 280000 Hz, 250.000 mVpp
[141/250] sine 290000 Hz, 50.000 mVpp
[142/250] sine 290000 Hz, 100.000 mVpp
[143/250] sine 290000 Hz, 150.000 mVpp
[144/250] sine 290000 Hz, 200.000 mVpp
[145/250] sine 290000 Hz, 250.000 mVpp
[146/250] sine 300000 Hz, 50.000 mVpp
[147/250] sine 300000 Hz, 100.000 mVpp
[148/250] sine 300000 Hz, 150.000 mVpp
[149/250] sine 300000 Hz, 200.000 mVpp
[150/250] sine 300000 Hz, 250.000 mVpp
[151/250] sine 310000 Hz, 50.000 mVpp
[152/250] sine 310000 Hz, 100.000 mVpp
[153/250] sine 310000 Hz, 150.000 mVpp
[154/250] sine 310000 Hz, 200.000 mVpp
[155/250] sine 310000 Hz, 250.000 mVpp
[156/250] sine 320000 Hz, 50.000 mVpp
[157/250] sine 320000 Hz, 100.000 mVpp
[158/250] sine 320000 Hz, 150.000 mVpp
[159/250] sine 320000 Hz, 200.000 mVpp
[160/250] sine 320000 Hz, 250.000 mVpp
[161/250] sine 330000 Hz, 50.000 mVpp
[162/250] sine 330000 Hz, 100.000 mVpp
[163/250] sine 330000 Hz, 150.000 mVpp
[164/250] sine 330000 Hz, 200.000 mVpp
[165/250] sine 330000 Hz, 250.000 mVpp
[166/250] sine 340000 Hz, 50.000 mVpp
[167/250] sine 340000 Hz, 100.000 mVpp
[168/250] sine 340000 Hz, 150.000 mVpp
[169/250] sine 340000 Hz, 200.000 mVpp
[170/250] sine 340000 Hz, 250.000 mVpp
[171/250] sine 350000 Hz, 50.000 mVpp
[172/250] sine 350000 Hz, 100.000 mVpp
[173/250] sine 350000 Hz, 150.000 mVpp
[174/250] sine 350000 Hz, 200.000 mVpp
[175/250] sine 350000 Hz, 250.000 mVpp
[176/250] sine 360000 Hz, 50.000 mVpp
[177/250] sine 360000 Hz, 100.000 mVpp
[178/250] sine 360000 Hz, 150.000 mVpp
[179/250] sine 360000 Hz, 200.000 mVpp
[180/250] sine 360000 Hz, 250.000 mVpp
[181/250] sine 370000 Hz, 50.000 mVpp
[182/250] sine 370000 Hz, 100.000 mVpp
[183/250] sine 370000 Hz, 150.000 mVpp
[184/250] sine 370000 Hz, 200.000 mVpp
[185/250] sine 370000 Hz, 250.000 mVpp
[186/250] sine 380000 Hz, 50.000 mVpp
[187/250] sine 380000 Hz, 100.000 mVpp
[188/250] sine 380000 Hz, 150.000 mVpp
[189/250] sine 380000 Hz, 200.000 mVpp
[190/250] sine 380000 Hz, 250.000 mVpp
[191/250] sine 390000 Hz, 50.000 mVpp
[192/250] sine 390000 Hz, 100.000 mVpp
[193/250] sine 390000 Hz, 150.000 mVpp
[194/250] sine 390000 Hz, 200.000 mVpp
[195/250] sine 390000 Hz, 250.000 mVpp
[196/250] sine 400000 Hz, 50.000 mVpp
[197/250] sine 400000 Hz, 100.000 mVpp
[198/250] sine 400000 Hz, 150.000 mVpp
[199/250] sine 400000 Hz, 200.000 mVpp
[200/250] sine 400000 Hz, 250.000 mVpp
[201/250] sine 410000 Hz, 50.000 mVpp
[202/250] sine 410000 Hz, 100.000 mVpp
[203/250] sine 410000 Hz, 150.000 mVpp
[204/250] sine 410000 Hz, 200.000 mVpp
[205/250] sine 410000 Hz, 250.000 mVpp
[206/250] sine 420000 Hz, 50.000 mVpp
[207/250] sine 420000 Hz, 100.000 mVpp
[208/250] sine 420000 Hz, 150.000 mVpp
[209/250] sine 420000 Hz, 200.000 mVpp
[210/250] sine 420000 Hz, 250.000 mVpp
[211/250] sine 430000 Hz, 50.000 mVpp
[212/250] sine 430000 Hz, 100.000 mVpp
[213/250] sine 430000 Hz, 150.000 mVpp
[214/250] sine 430000 Hz, 200.000 mVpp
[215/250] sine 430000 Hz, 250.000 mVpp
[216/250] sine 440000 Hz, 50.000 mVpp
[217/250] sine 440000 Hz, 100.000 mVpp
[218/250] sine 440000 Hz, 150.000 mVpp
[219/250] sine 440000 Hz, 200.000 mVpp
[220/250] sine 440000 Hz, 250.000 mVpp
[221/250] sine 450000 Hz, 50.000 mVpp
[222/250] sine 450000 Hz, 100.000 mVpp
[223/250] sine 450000 Hz, 150.000 mVpp
[224/250] sine 450000 Hz, 200.000 mVpp
[225/250] sine 450000 Hz, 250.000 mVpp
[226/250] sine 460000 Hz, 50.000 mVpp
[227/250] sine 460000 Hz, 100.000 mVpp
[228/250] sine 460000 Hz, 150.000 mVpp
[229/250] sine 460000 Hz, 200.000 mVpp
[230/250] sine 460000 Hz, 250.000 mVpp
[231/250] sine 470000 Hz, 50.000 mVpp
[232/250] sine 470000 Hz, 100.000 mVpp
[233/250] sine 470000 Hz, 150.000 mVpp
[234/250] sine 470000 Hz, 200.000 mVpp
[235/250] sine 470000 Hz, 250.000 mVpp
[236/250] sine 480000 Hz, 50.000 mVpp
[237/250] sine 480000 Hz, 100.000 mVpp
[238/250] sine 480000 Hz, 150.000 mVpp
[239/250] sine 480000 Hz, 200.000 mVpp
[240/250] sine 480000 Hz, 250.000 mVpp
[241/250] sine 490000 Hz, 50.000 mVpp
[242/250] sine 490000 Hz, 100.000 mVpp
[243/250] sine 490000 Hz, 150.000 mVpp
[244/250] sine 490000 Hz, 200.000 mVpp
[245/250] sine 490000 Hz, 250.000 mVpp
[246/250] sine 500000 Hz, 50.000 mVpp
[247/250] sine 500000 Hz, 100.000 mVpp
[248/250] sine 500000 Hz, 150.000 mVpp
[249/250] sine 500000 Hz, 200.000 mVpp
[250/250] sine 500000 Hz, 250.000 mVpp
amplitude table: CalibrationData\rigol_amplitude_full_2d.inc
worst one-frame equivalent peak noise: 0.097909 mV
