frequency_hz,vpp_mv,frames,codes_mean,codes_median,codes_stddev,measured_frequency_mean_hz
10000.0,10.0,15,312.9450666666667,312.937,0.8509080221870196,10000.0
10000.0,20.0,15,632.1258666666668,632.138,0.6503450229600485,10000.0
10000.0,30.0,15,950.1890666666666,950.291,1.9425865048663626,10000.0
10000.0,40.0,15,1274.3029333333334,1274.276,0.9997952768220155,10000.0
10000.0,50.0,15,1592.0088666666666,1591.665,1.0393825645812786,10000.0
10000.0,100.0,15,3187.2930666666666,3187.299,0.6191885514301929,10000.0
10000.0,150.0,15,4797.207733333333,4797.209,0.35768672823513226,10000.0
10000.0,200.0,15,6390.843,6390.808,0.45279973498209014,10000.0
10000.0,250.0,15,7986.135733333333,7986.204,0.40028897339558955,10000.0
50000.0,10.0,15,333.0077333333333,333.037,0.2166310124510346,50000.0
50000.0,20.0,15,651.5248666666666,651.566,0.39558292289845853,50000.0
50000.0,30.0,15,966.3282666666668,966.2,0.9786961030995516,50000.0
50000.0,40.0,15,1283.0285333333334,1282.738,0.8523034566527459,50000.0
50000.0,50.0,15,1596.1474,1595.819,0.8711926537798941,50000.0
50000.0,100.0,15,3190.0329333333334,3190.195,5.133722021648155,50000.0
50000.0,150.0,15,4779.9981333333335,4779.481,1.7347054261619177,50000.0
50000.0,200.0,15,6382.916266666667,6382.36,2.6081813706530688,50000.0
50000.0,250.0,15,7974.822,7974.119,4.408373078585706,50000.0
100000.0,10.0,15,325.2520666666667,325.267,0.5638416404945239,100000.0
100000.0,20.0,15,625.0743333333334,626.423,3.7846300685213095,100000.0
100000.0,30.0,15,964.9954,965.188,1.0357202839891888,100000.0
100000.0,40.0,15,1274.4883333333335,1273.998,3.102217758672361,100000.0
100000.0,50.0,15,1605.3906,1605.707,2.060521804462812,100000.0
100000.0,100.0,15,3198.321733333333,3198.3,1.4909160703705122,100000.0
100000.0,150.0,15,4813.468733333333,4812.982,2.8633595295657637,100000.0
100000.0,200.0,15,6412.796866666667,6412.003,2.3183048941462743,100000.0
100000.0,250.0,15,8016.961066666667,8017.046,3.1069126039991612,100000.0
105000.0,10.0,15,325.2036,325.23,0.16945984775161557,105000.0
105000.0,20.0,15,640.2168666666668,640.228,0.1060646762855382,105000.0
105000.0,30.0,15,970.5029333333333,970.515,0.1642483756050432,105000.0
105000.0,40.0,15,1292.0664666666667,1292.112,0.2559551696857815,105000.0
105000.0,50.0,15,1614.3349333333333,1614.285,0.16989034371878922,105000.0
105000.0,100.0,15,3232.402666666667,3232.392,0.1979008730540426,105000.0
105000.0,150.0,15,4852.513066666666,4852.573,0.289571284641368,105000.0
105000.0,200.0,15,6470.7504,6470.783,0.1853367385778428,105000.0
105000.0,250.0,15,8091.6836,8091.708,0.234581556535558,105000.0
200000.0,10.0,15,308.53153333333336,308.275,1.4486761711607208,200000.0
200000.0,20.0,15,639.2397333333333,638.71,2.0957476459620885,200000.0
200000.0,30.0,15,950.1041333333334,949.982,2.4597477612326153,200000.0
200000.0,40.0,15,1276.3739333333333,1277.807,3.358800549137846,200000.0
200000.0,50.0,15,1598.5648,1597.301,3.8354367539217,200000.0
200000.0,100.0,15,3190.9990000000003,3191.607,2.1987468552185283,200000.0
200000.0,150.0,15,4790.850866666667,4790.454,1.3893293761939758,200000.0
200000.0,200.0,15,6379.0071333333335,6379.267,1.1695455451680672,200000.0
200000.0,250.0,15,7975.226866666667,7975.256,0.7467048383100102,200000.0
300000.0,10.0,15,311.23940000000005,309.893,2.5719326015015715,300000.0
300000.0,20.0,15,622.3357333333333,623.007,1.9806266168956683,300000.0
300000.0,30.0,15,938.6196,937.561,4.662258248245527,300000.0
300000.0,40.0,15,1256.3252,1257.435,2.0605155083133444,300000.0
300000.0,50.0,15,1568.468,1568.214,3.066338663618251,300000.0
300000.0,100.0,15,3135.5952,3135.947,2.394144807650591,300000.0
300000.0,150.0,15,4699.077,4698.711,1.1483910483803514,300000.0
300000.0,200.0,15,6267.8079333333335,6267.528,1.1435931366627448,300000.0
300000.0,250.0,15,7835.064266666667,7834.877,0.7850233513866167,300000.0
400000.0,10.0,15,309.4463333333333,308.319,3.402685814993145,400000.0
400000.0,20.0,15,620.1003333333334,620.701,2.3202043205047387,400000.0
400000.0,30.0,15,936.5648666666667,936.916,3.220997917140314,400000.0
400000.0,40.0,15,1247.1526666666666,1247.269,0.6213475320266091,400000.0
400000.0,50.0,15,1558.5661333333333,1558.685,1.0389936070811532,400000.0
400000.0,100.0,15,3113.2244,3113.428,0.6050075261239719,400000.0
400000.0,150.0,15,4676.3022,4676.266,1.1379305309786576,400000.0
400000.0,200.0,15,6237.750266666667,6237.622,0.9445029357051447,400000.0
400000.0,250.0,15,7797.598733333333,7797.576,0.5841584792579417,400000.0
495000.0,10.0,15,302.87493333333333,303.056,0.5000775228790912,495000.0
495000.0,20.0,15,615.9276000000001,615.862,0.17946988605334582,495000.0
495000.0,30.0,15,919.7006,919.766,0.30558660529109516,495000.0
495000.0,40.0,15,1224.2516666666666,1224.245,0.2765450335036481,495000.0
495000.0,50.0,15,1531.8933333333334,1531.86,0.24405946452088065,495000.0
495000.0,100.0,15,3055.6401333333333,3055.655,0.30237016313712833,495000.0
495000.0,150.0,15,4590.349133333333,4590.331,0.2134278540604711,495000.0
495000.0,200.0,15,6118.507533333333,6118.488,0.3454467381360451,495000.0
495000.0,250.0,15,7648.710666666667,7648.693,0.3084465737999334,495000.0
500000.0,10.0,15,296.2408666666667,294.293,15.948668432888757,500000.0
500000.0,20.0,15,607.1658666666666,609.093,6.287165464835656,500000.0
500000.0,30.0,15,905.5874,905.141,9.091256435352221,500000.0
500000.0,40.0,15,1213.9142666666667,1214.364,6.585486673655121,500000.0
500000.0,50.0,15,1513.2634,1514.363,8.185978815837043,500000.0
500000.0,100.0,15,3029.2095333333336,3030.187,3.9017559272147944,500000.0
500000.0,150.0,15,4545.8533333333335,4546.127,4.7100757342343,500000.0
500000.0,200.0,15,6060.222,6060.346,1.8040416107544945,500000.0
500000.0,250.0,15,7575.799666666667,7575.963,2.586055958834358,500000.0
30000.0,10.0,15,314.68266666666665,314.744,0.3227671331195675,30000.0
30000.0,20.0,15,649.3984666666668,649.374,0.1329460375072903,30000.0
30000.0,30.0,15,969.9670666666666,969.87,0.33856057393356503,30000.0
30000.0,40.0,15,1290.2486,1290.164,0.5045671147957624,30000.0
30000.0,50.0,15,1609.5333333333333,1609.475,0.22108118167064222,30000.0
30000.0,100.0,15,3193.7111333333332,3193.687,0.2356443270882803,30000.0
30000.0,150.0,15,4775.544333333333,4775.536,0.2323817740031836,30000.0
30000.0,200.0,15,6363.816866666666,6363.833,0.28803769815003666,30000.0
30000.0,250.0,15,7967.6920666666665,7967.68,0.7593088494735355,30000.0
150000.0,10.0,15,311.4013333333333,311.389,0.3467463369989935,150000.0
150000.0,20.0,15,638.2654666666666,638.299,0.5935343704360297,150000.0
150000.0,30.0,15,964.5948000000001,966.609,4.366429406276947,150000.0
150000.0,40.0,15,1294.0049333333334,1294.019,0.6734292802926796,150000.0
150000.0,50.0,15,1615.245,1615.031,1.8476714715193818,150000.0
150000.0,100.0,15,3226.3830000000003,3226.603,0.9740183434275497,150000.0
150000.0,150.0,15,4839.467133333334,4839.149,1.080536525168134,150000.0
150000.0,200.0,15,6453.0126666666665,6452.511,1.738453016014163,150000.0
150000.0,250.0,15,8063.508199999999,8063.125,1.8725941080044526,150000.0
450000.0,10.0,15,306.3378666666667,306.31,0.36039253907680474,450000.0
450000.0,20.0,15,612.8972,612.794,0.3596552423270586,450000.0
450000.0,30.0,15,920.3658,920.258,0.5101483705746718,450000.0
450000.0,40.0,15,1225.0418666666667,1224.778,0.6240482744859264,450000.0
450000.0,50.0,15,1529.4952666666666,1529.61,1.0860762690631967,450000.0
450000.0,100.0,15,3057.0452666666665,3057.09,0.5424385024026973,450000.0
450000.0,150.0,15,4592.8895999999995,4592.939,0.4114296699720734,450000.0
450000.0,200.0,15,6123.096399999999,6122.982,0.4060715536289312,450000.0
450000.0,250.0,15,7652.652666666666,7652.615,0.38954805722635394,450000.0
