"fundamental_hz","harmonic","target_frequency_hz","frames","true_relative_deg","measured_error_deg","circular_stddev_deg","resultant"
"10000.0","2","20000.0","20","87","-0.0474999998105723","0.019202864416728246","0.9999999438361645"
"10000.0","3","30000.0","20","124","-0.244499999780942","0.022017038932895337","0.9999999261683551"
"10000.0","4","40000.0","20","161","-0.208499996510589","0.07329904678074994","0.9999991816836743"
"10000.0","5","50000.0","20","-162","-0.359000030660404","0.10783784873709382","0.9999982288033344"
"10000.0","6","60000.0","50","-125.0","-0.4501999913914559","0.22502004617354215","0.9999922880272948"
"10000.0","7","70000.0","20","-88","-0.797000007586334","0.19611480443964593","0.9999941420693503"
"10000.0","8","80000.0","20","-51","-1.28649980138478","0.16710104689817917","0.9999957471295103"
"10000.0","9","90000.0","20","-14","-1.63049988214266","0.15755874897678612","0.9999962189800736"
"10000.0","10","100000.0","50","23.0","-1.5911996853222619","0.38951139314657107","0.9999768921227367"
"20000.0","2","40000.0","20","87","-0.368999998701408","0.06131068715892967","0.9999994274716686"
"20000.0","3","60000.0","50","124.0","-0.27519999622982344","0.06957701328026394","0.9999992626797812"
"20000.0","4","80000.0","20","161","-0.651000080478575","0.30808995458574306","0.9999855430500809"
"20000.0","5","100000.0","20","-162","-1.13100009614652","0.2778295213093159","0.9999882434751031"
"20000.0","6","120000.0","50","-125.0","-1.6860000536200304","0.12310972572377879","0.9999976916111615"
"20000.0","7","140000.0","50","-88.0","-2.5998000643052817","0.2623625045414195","0.9999895160244586"
"20000.0","8","160000.0","20","-51","-3.71600004623737","0.15822138989101728","0.9999961871097738"
"20000.0","9","180000.0","20","-14","-4.81650016276713","0.18757071143112777","0.9999946413717762"
"20000.0","10","200000.0","20","23","-5.97699959105911","0.27768861562461583","0.9999882553970283"
"30000.0","2","60000.0","20","87","-0.331499996365949","0.05993955682400712","0.9999994527929603"
"30000.0","3","90000.0","50","124.0","-0.8153999943802055","0.08868394245878615","0.9999988021168322"
