fundamental_hz,harmonic,target_frequency_hz,frames,true_relative_deg,measured_error_deg,circular_stddev_deg,resultant
10000.0,2,20000.0,20,67.0,19.952500000189428,0.019202864416728246,0.9999999438361645
10000.0,3,30000.0,20,94.0,29.755500000219058,0.022017038932895337,0.9999999261683551
10000.0,4,40000.0,20,121.0,39.79150000348941,0.07329904678074994,0.9999991816836743
10000.0,5,50000.0,20,148.0,49.640999969339596,0.10783784873709382,0.9999982288033344
10000.0,6,60000.0,20,175.0,59.57599982808812,0.16689522653057962,0.9999957575996594
10000.0,7,70000.0,20,-158.0,69.20299999241367,0.19611480443964593,0.9999941420693503
10000.0,8,80000.0,20,-131.0,78.71350019861522,0.16710104689817917,0.9999957471295103
10000.0,9,90000.0,20,-104.0,88.36950011785734,0.15755874897678612,0.9999962189800736
10000.0,10,100000.0,20,-77.0,97.96649947522532,0.2363742560469118,0.9999914901238104
20000.0,2,40000.0,20,67.0,19.63100000129859,0.06131068715892967,0.9999994274716686
20000.0,3,60000.0,20,94.0,29.366500007816132,0.07650327434526286,0.9999991085754454
20000.0,4,80000.0,20,121.0,39.348999919521425,0.30808995458574306,0.9999855430500809
20000.0,5,100000.0,20,148.0,48.86899990385348,0.2778295213093159,0.9999882434751031
20000.0,6,120000.0,20,175.0,58.469000075329625,0.16837169165894977,0.9999956822056608
20000.0,7,140000.0,20,-158.0,67.60450007114001,0.170747707917175,0.9999955594829668
20000.0,8,160000.0,20,-131.0,76.28399995376263,0.15822138989101728,0.9999961871097738
20000.0,9,180000.0,20,-104.0,85.18349983723287,0.18757071143112777,0.9999946413717762
20000.0,10,200000.0,20,-77.0,94.02300040894089,0.27768861562461583,0.9999882553970283
30000.0,2,60000.0,20,67.0,19.66850000363405,0.05993955682400712,0.9999994527929603
30000.0,3,90000.0,20,94.0,28.95150000604822,0.0798295152974401,0.9999990293749097
30000.0,4,120000.0,20,121.0,38.565999995600734,0.06343500926392719,0.9999993871098782
30000.0,5,150000.0,20,148.0,47.44899996757556,0.11008635060202149,0.9999981541717494
30000.0,6,180000.0,20,175.0,55.78750011615967,0.19039116982440812,0.9999944790076511
30000.0,7,210000.0,20,-158.0,63.90250024327164,0.22653662309614794,0.9999921837239893
30000.0,8,240000.0,20,-131.0,71.73550000093493,0.06696827920854324,0.9999993169336826
30000.0,9,270000.0,20,-104.0,79.0400000074936,0.07829432033485999,0.9999990663479533
30000.0,10,300000.0,20,-77.0,85.20750000837032,0.11013060579587373,0.9999981526873905
40000.0,2,80000.0,10,67.0,19.530000037803052,0.12132602451062782,0.9999977580176603
40000.0,3,120000.0,10,94.0,28.503999991657146,0.09738584224987526,0.9999985555048928
40000.0,4,160000.0,10,121.0,36.94000000938224,0.08087027146124971,0.9999990039014106
40000.0,5,200000.0,10,148.0,44.90600001615327,0.08811357448616958,0.9999988174755696
40000.0,6,240000.0,10,175.0,52.15400006751922,0.23580511102065574,0.999991531054683
40000.0,7,280000.0,10,-158.0,58.42700028512881,0.29031183602547245,0.9999871633577788
40000.0,8,320000.0,10,-131.0,63.298999534546724,0.21309389059322936,0.9999930838367637
40000.0,9,360000.0,10,-104.0,65.6289997741933,0.16609938684342973,0.9999957979628703
40000.0,10,400000.0,10,-77.0,63.802999961805554,0.23588372353886117,0.9999915254070253
50000.0,2,100000.0,10,67.0,19.190999692788704,0.18441535065306253,0.9999948201432175
50000.0,3,150000.0,10,94.0,27.62799996519924,0.15025318281188793,0.9999965614815917
50000.0,4,200000.0,10,121.0,35.28099967274429,0.2181950159849076,0.999992748751021
50000.0,5,250000.0,10,148.0,41.94399985558244,0.2781799997909903,0.9999882137951497
50000.0,6,300000.0,10,175.0,46.399000031945896,0.08537563071990091,0.9999988898226856
50000.0,7,350000.0,10,-158.0,48.17300021811125,0.1504692347158481,0.9999965515858774
50000.0,8,400000.0,10,-131.0,44.71100004259712,0.1063437901616837,0.9999982775420234
50000.0,9,450000.0,10,-104.0,34.556000059908605,0.11155268711549479,0.9999981046719052
50000.0,10,500000.0,10,-77.0,5.735000008833916,0.1790671206811979,0.9999951162280087
60000.0,2,120000.0,10,67.0,18.940999999978047,0.0330000007809782,0.9999998341358208
60000.0,3,180000.0,10,94.0,26.42399999331425,0.06560488268006484,0.9999993444634313
60000.0,4,240000.0,10,121.0,32.80400000505422,0.06726068900506826,0.9999993109555904
60000.0,5,300000.0,10,148.0,36.931000003002914,0.04846648431322372,0.999999642226889
60000.0,6,360000.0,10,175.0,36.465000139225594,0.1355175309473907,0.999997202854273
60000.0,7,420000.0,10,-158.0,28.192000155325925,0.1433038835629958,0.9999968721927616
60000.0,8,480000.0,10,-131.0,6.012999944704533,0.12116519981661349,0.99999776395747
70000.0,2,140000.0,10,67.0,18.342999999042284,0.040012498609524355,0.9999997561537783
70000.0,3,210000.0,10,94.0,24.99100000041672,0.031128765039792464,0.999999852412869
70000.0,4,280000.0,10,121.0,29.665999999624706,0.027276363655039968,0.9999998866823241
70000.0,5,350000.0,10,148.0,29.220000000091378,0.034641016935759016,0.9999998172295566
70000.0,6,420000.0,10,175.0,18.896999996635266,0.057105167397278916,0.9999995033213985
70000.0,7,490000.0,10,-158.0,-11.519000000871753,0.05393514769420761,0.9999995569340372
80000.0,2,160000.0,10,67.0,17.932999924816123,0.1001049238453299,0.999998473716226
80000.0,3,240000.0,10,94.0,23.456999845940736,0.1283004111202404,0.9999974928501557
80000.0,4,320000.0,10,121.0,24.918999957887202,0.09964438047359363,0.999998487727573
80000.0,5,400000.0,10,148.0,16.388999897222448,0.15693635748742818,0.9999962487927277
80000.0,6,480000.0,10,175.0,-12.450000039935345,0.1317573745110349,0.9999973559234179
90000.0,2,180000.0,10,67.0,17.30400000002193,0.01624807685739938,0.9999999597905012
90000.0,3,270000.0,10,94.0,21.304000000795646,0.028000000156121165,0.9999998805899772
90000.0,4,360000.0,10,121.0,17.927000001969066,0.0438292135693147,0.9999997074150169
90000.0,5,450000.0,10,148.0,-2.951999993774816,0.04995998279708914,0.9999996198375505
100000.0,2,200000.0,10,67.0,16.537999995003055,0.10740578290887602,0.9999982429679308
100000.0,3,300000.0,10,94.0,18.474999991287916,0.11960352448779864,0.9999978212258109
100000.0,4,400000.0,10,121.0,7.592000116158265,0.19353561936889913,0.9999942951357573
100000.0,5,500000.0,10,148.0,-40.27800005412328,0.13249908365295596,0.9999973260707722
110000.0,2,220000.0,10,67.0,15.704999999573541,0.029410882589914946,0.9999998682529724
110000.0,3,330000.0,10,94.0,14.603000000324732,0.01846618527014275,0.9999999480627315
110000.0,4,440000.0,10,121.0,-7.092999999325562,0.03195309120822055,0.9999998444928135
120000.0,2,240000.0,10,67.0,14.96199999946509,0.031240998573378736,0.9999998513467114
120000.0,3,360000.0,10,94.0,9.649000004359689,0.08005624148106542,0.9999990238536806
120000.0,4,480000.0,10,121.0,-29.44499997660536,0.0838152791055983,0.9999989300317313
130000.0,2,260000.0,10,67.0,13.840000000000002,0.010954451140634126,0.999999981722955
130000.0,3,390000.0,10,94.0,2.50999999999998,0.011832159575249666,0.9999999786767808
140000.0,2,280000.0,10,67.0,12.628000000285134,0.03994996986516101,0.9999997569153145
140000.0,3,420000.0,10,94.0,-6.796999999431592,0.044056782578866374,0.9999997043688239
150000.0,2,300000.0,10,67.0,11.032999998688929,0.03100000009727226,0.9999998536313396
150000.0,3,450000.0,10,94.0,-18.578000003970992,0.05653317882979063,0.9999995132214347
160000.0,2,320000.0,10,67.0,9.04199999811867,0.04069398076763836,0.9999997477767975
160000.0,3,480000.0,10,94.0,-36.10999998263678,0.10188230225740212,0.9999984190363059
170000.0,2,340000.0,10,67.0,6.481000000206534,0.019723082967536793,0.9999999407519133
