fundamental_hz,harmonic,target_frequency_hz,frames,true_relative_deg,measured_error_deg,circular_stddev_deg,resultant
10000.0,6,60000.0,50,-125.0,-0.4501999913914559,0.22502004617354215,0.9999922880272948
10000.0,10,100000.0,50,23.0,-1.5911996853222619,0.38951139314657107,0.9999768921227367
20000.0,3,60000.0,50,124.0,-0.27519999622982344,0.06957701328026394,0.9999992626797812
20000.0,6,120000.0,50,-125.0,-1.6860000536200304,0.12310972572377879,0.9999976916111615
20000.0,7,140000.0,50,-88.0,-2.5998000643052817,0.2623625045414195,0.9999895160244586
30000.0,3,90000.0,50,124.0,-0.8153999943802055,0.08868394245878615,0.9999988021168322
30000.0,5,150000.0,50,-162.0,-2.821599970804412,0.14371306147068266,0.9999968543055315
40000.0,10,400000.0,50,23.0,-36.32160008260059,0.18876827206716834,0.9999945727283239
50000.0,5,250000.0,50,-162.0,-8.273799965624852,0.13754838965817168,0.999997118390453
50000.0,10,500000.0,50,23.0,-93.75359981651408,0.3255629161032058,0.999983856745492
