frequency_hz,vpp_mv,frames,codes_mean,codes_median,codes_stddev,measured_frequency_mean_hz
10000.0,10.0,25,313.42668000000003,313.552,0.8446978972390055,10000.0
10000.0,20.0,25,634.37244,634.345,0.4788609885969018,10000.0
10000.0,30.0,25,952.90804,952.964,1.4330703117432841,10000.0
10000.0,40.0,25,1276.0664,1275.933,1.4718885827398787,10000.0
10000.0,50.0,25,1595.0322399999998,1595.003,1.3696328640917068,10000.0
10000.0,100.0,25,3200.47948,3200.44,0.457766064273004,10000.0
10000.0,150.0,25,4808.09212,4808.064,0.4181203003920824,10000.0
10000.0,200.0,25,6408.723959999999,6408.721,0.449789504546229,10000.0
10000.0,250.0,25,8009.917240000001,8009.821,0.3792234465326281,10000.0
20000.0,10.0,25,317.96908,318.039,0.3275264777082866,20000.0
20000.0,20.0,25,634.53016,634.391,0.9146211316167858,20000.0
20000.0,30.0,25,963.0044,962.911,0.4656094500759152,20000.0
20000.0,40.0,25,1287.33924,1287.305,0.30089031622835183,20000.0
20000.0,50.0,25,1611.94156,1611.935,0.38196482351128713,20000.0
20000.0,100.0,25,3211.94436,3212.039,0.35532451421202926,20000.0
20000.0,150.0,25,4808.66072,4808.667,0.48728788369916143,20000.0
20000.0,200.0,25,6402.82904,6402.79,0.31587978472831857,20000.0
20000.0,250.0,25,7997.55556,7997.602,0.5451906147394824,20000.0
30000.0,10.0,25,316.286,316.285,0.19562658306068983,30000.0
30000.0,20.0,25,650.3848399999999,650.425,0.11915693181683619,30000.0
30000.0,30.0,25,973.3384,973.288,0.25455718414533796,30000.0
30000.0,40.0,25,1294.38064,1294.382,0.35891680150140465,30000.0
30000.0,50.0,25,1615.2062400000002,1615.216,0.17678942954822982,30000.0
30000.0,100.0,25,3205.74728,3205.713,0.19148023814482623,30000.0
30000.0,150.0,25,4796.072319999999,4796.063,0.2815236714735907,30000.0
30000.0,200.0,25,6387.129400000001,6387.198,0.33666256103107683,30000.0
30000.0,250.0,25,7999.939960000001,7999.835,0.42996395011669536,30000.0
40000.0,10.0,25,324.15612,324.003,1.5010539849052758,40000.0
40000.0,20.0,25,649.09136,648.996,0.44010606721560974,40000.0
40000.0,30.0,25,975.2695600000001,975.416,0.43955432701773045,40000.0
40000.0,40.0,25,1290.93948,1290.887,0.5901336879046913,40000.0
40000.0,50.0,25,1610.25112,1610.231,0.5711321612376608,40000.0
40000.0,100.0,25,3192.07612,3191.891,0.5045979246885289,40000.0
40000.0,150.0,25,4804.8052,4805.117,1.1785454764241599,40000.0
40000.0,200.0,25,6401.48952,6401.276,0.991049428434354,40000.0
40000.0,250.0,25,7998.333640000001,7998.558,4.193264569568751,40000.0
50000.0,10.0,25,334.72804,334.682,0.23544060482423096,50000.0
50000.0,20.0,25,653.56308,653.467,0.4127629750837704,50000.0
50000.0,30.0,25,970.6223200000001,970.583,0.284661584341833,50000.0
50000.0,40.0,25,1287.19652,1287.318,1.0195814874741458,50000.0
50000.0,50.0,25,1602.2406,1602.326,0.6315335620535095,50000.0
50000.0,100.0,25,3205.31016,3206.817,5.372210470039298,50000.0
50000.0,150.0,25,4797.15524,4797.116,2.1003962536625798,50000.0
50000.0,200.0,25,6408.909640000001,6408.815,1.5352273285739453,50000.0
50000.0,250.0,25,8007.55112,8008.553,2.8353494644575736,50000.0
60000.0,10.0,25,331.61235999999997,331.627,0.3809023895960704,60000.0
60000.0,20.0,25,651.41716,651.468,0.2778403397636915,60000.0
60000.0,30.0,25,963.67984,963.692,0.24012124937207427,60000.0
60000.0,40.0,25,1273.02544,1273.144,0.5155540770860095,60000.0
60000.0,50.0,25,1594.48332,1594.53,0.2797258257651515,60000.0
60000.0,100.0,25,3198.55544,3198.599,0.46237760153369484,60000.0
60000.0,150.0,25,4805.42892,4805.198,1.0357249024716644,60000.0
60000.0,200.0,25,6413.811239999999,6413.684,0.6740792997859741,60000.0
60000.0,250.0,25,8018.49696,8018.525,0.4762626569447085,60000.0
70000.0,10.0,25,335.156,335.128,0.21983066210154198,70000.0
70000.0,20.0,25,641.23308,641.273,0.2235894308772215,70000.0
70000.0,30.0,25,954.8688000000001,954.878,0.12467654149840011,70000.0
70000.0,40.0,25,1273.65292,1273.667,0.19171810973403594,70000.0
70000.0,50.0,25,1606.9054800000001,1606.91,0.18198420151211137,70000.0
70000.0,100.0,25,3208.3300400000003,3208.343,0.1976678992654197,70000.0
70000.0,150.0,25,4812.75,4812.814,0.21795173777694624,70000.0
70000.0,200.0,25,6416.03644,6416.106,0.35031061416971976,70000.0
70000.0,250.0,25,8023.644520000001,8023.812,0.40180712985209205,70000.0
80000.0,10.0,25,328.74136,328.735,0.3452693881594438,80000.0
80000.0,20.0,25,637.45344,637.375,0.35358145652734,80000.0
80000.0,30.0,25,950.3739999999999,950.322,0.39183751734615363,80000.0
80000.0,40.0,25,1283.48372,1283.392,0.6525643275570786,80000.0
80000.0,50.0,25,1603.92288,1603.974,0.34722607275373857,80000.0
80000.0,100.0,25,3207.56864,3207.703,0.6871701902731213,80000.0
80000.0,150.0,25,4817.076120000001,4817.24,1.039527289492616,80000.0
80000.0,200.0,25,6428.10272,6428.111,0.8023445404563546,80000.0
80000.0,250.0,25,8031.7364,8031.84,0.5434207945966135,80000.0
90000.0,10.0,25,320.54788,320.516,0.24364783110054614,90000.0
90000.0,20.0,25,635.86472,635.869,0.1510929568179793,90000.0
90000.0,30.0,25,962.59532,962.56,0.2740028788169907,90000.0
90000.0,40.0,25,1283.45536,1283.447,0.17443116235352568,90000.0
90000.0,50.0,25,1597.89984,1597.9,0.29929486196725247,90000.0
90000.0,100.0,25,3209.07752,3209.008,0.6197094235204131,90000.0
90000.0,150.0,25,4820.77572,4820.805,0.3444345534350872,90000.0
90000.0,200.0,25,6429.20132,6429.086,0.34813580338720296,90000.0
90000.0,250.0,25,8036.03108,8035.957,0.395758504141073,90000.0
100000.0,10.0,25,326.77,326.823,0.3886438987041988,100000.0
100000.0,20.0,25,627.5764800000001,628.456,2.5541561130048396,100000.0
100000.0,30.0,25,966.12628,966.067,0.8739579632911518,100000.0
100000.0,40.0,25,1278.71716,1278.819,2.1656076778585738,100000.0
100000.0,50.0,25,1607.89104,1607.042,2.6401221862633713,100000.0
100000.0,100.0,25,3213.72376,3213.512,2.1315712567024625,100000.0
100000.0,150.0,25,4831.00304,4830.92,2.3364408741503064,100000.0
100000.0,200.0,25,6434.41676,6435.35,2.2496232623262897,100000.0
100000.0,250.0,25,8045.281800000001,8045.658,2.623106844945536,100000.0
110000.0,10.0,25,318.68676,318.675,0.12515343543027435,110000.0
110000.0,20.0,25,632.63824,632.642,0.23631813811046964,110000.0
110000.0,30.0,25,950.20696,950.214,0.09826758570352846,110000.0
110000.0,40.0,25,1281.0816,1281.09,0.36960649344944674,110000.0
110000.0,50.0,25,1594.45868,1594.459,0.2561129001046127,110000.0
110000.0,100.0,25,3197.93228,3197.858,0.34924473023943625,110000.0
110000.0,150.0,25,4793.306280000001,4793.274,0.23750175073047028,110000.0
110000.0,200.0,25,6394.677240000001,6394.717,0.35732207096679053,110000.0
110000.0,250.0,25,7998.446999999999,7998.465,0.42807522703377615,110000.0
120000.0,10.0,25,307.98672,308.058,0.20657773742588684,120000.0
120000.0,20.0,25,639.5337999999999,639.228,1.1234276834758878,120000.0
120000.0,30.0,25,951.97276,951.608,2.2818242049728505,120000.0
120000.0,40.0,25,1276.62768,1276.772,0.3499896821336299,120000.0
120000.0,50.0,25,1600.5683199999999,1600.543,0.7674716786957146,120000.0
120000.0,100.0,25,3200.01512,3199.956,0.6831665870049551,120000.0
120000.0,150.0,25,4798.38108,4798.375,0.4857045126411222,120000.0
120000.0,200.0,25,6401.27508,6401.286,0.60237994123304,120000.0
120000.0,250.0,25,7999.06956,7999.12,0.4933693204892608,120000.0
130000.0,10.0,25,305.19972,305.176,0.27482001673822687,130000.0
130000.0,20.0,25,632.0126,632.128,0.27550999981850754,130000.0
130000.0,30.0,25,958.40284,958.406,0.26396797987635956,130000.0
130000.0,40.0,25,1276.86084,1276.912,0.3352414866928228,130000.0
130000.0,50.0,25,1597.71968,1597.724,0.18348072814330807,130000.0
130000.0,100.0,25,3197.5208000000002,3197.521,0.27262765817135337,130000.0
130000.0,150.0,25,4801.045,4801.09,0.3222602674856936,130000.0
130000.0,200.0,25,6400.651559999999,6400.569,0.381117628036296,130000.0
130000.0,250.0,25,8001.864640000001,8001.869,0.21023337128059705,130000.0
140000.0,10.0,25,311.07604,311.072,0.12196736612716341,140000.0
140000.0,20.0,25,631.22752,631.246,0.1329722136387799,140000.0
