frequency_hz,vpp_mv,frames,codes_mean,codes_median,codes_stddev,measured_frequency_mean_hz
10000.0,50.0,25,3200.1965600000003,3200.267,0.4548525985415506,10000.0
10000.0,100.0,25,3200.37276,3200.33,0.5903023144118545,10000.0
10000.0,150.0,25,4807.57476,4807.544,0.3890127278123444,10000.0
10000.0,200.0,25,6408.18552,6408.284,0.4303741739462434,10000.0
10000.0,250.0,25,8009.797560000001,8009.852,0.3449912555413149,10000.0
20000.0,50.0,25,7997.835080000001,7998.094,0.7156781913681938,20000.0
20000.0,100.0,25,3211.6115999999997,3211.541,0.36726001688181054,20000.0
20000.0,150.0,25,4807.99152,4807.968,0.3970215228422439,20000.0
20000.0,200.0,25,4808.2624,4808.258,0.4115077642037062,20000.0
20000.0,250.0,25,7997.55148,7997.612,0.7832066966006358,20000.0
30000.0,50.0,25,1615.5150400000002,1615.557,0.243505314931732,30000.0
30000.0,100.0,25,1615.48144,1615.436,0.19225151858958553,30000.0
30000.0,150.0,25,4795.93832,4795.891,0.29724262413050384,30000.0
30000.0,200.0,25,4795.96512,4795.974,0.1830196317337629,30000.0
30000.0,250.0,25,7998.9542,7998.904,0.5270942989636832,30000.0
40000.0,50.0,25,1610.3492800000001,1610.346,0.3654475086794154,40000.0
40000.0,100.0,25,3192.38488,3192.303,0.40845438619265795,40000.0
40000.0,150.0,25,3191.9330800000002,3191.967,0.4387386392831582,40000.0
40000.0,200.0,25,6401.613759999999,6401.175,1.1552187768556594,40000.0
40000.0,250.0,25,7999.26804,8000.272,4.53737885109898,40000.0
50000.0,50.0,25,1602.0654800000002,1602.185,0.6481979401386696,50000.0
50000.0,100.0,25,3202.4962800000003,3202.729,4.539906391281631,50000.0
50000.0,150.0,25,4797.1614,4797.017,1.9359421892195163,50000.0
50000.0,200.0,25,6409.379599999999,6409.784,1.7565215170899713,50000.0
50000.0,250.0,25,8007.93696,8008.879,3.101888785627182,50000.0
60000.0,50.0,25,8018.338959999999,8018.384,0.47414221326518197,60000.0
60000.0,100.0,25,8018.35232,8018.434,0.4509850303502031,60000.0
60000.0,150.0,25,4805.64628,4805.635,0.859908623982854,60000.0
60000.0,200.0,25,6413.81616,6413.831,0.6430061075915278,60000.0
60000.0,250.0,25,8018.5168,8018.474,0.37158449913851654,60000.0
70000.0,50.0,25,1607.1976800000002,1607.216,0.3054124712581244,70000.0
70000.0,100.0,25,3208.45184,3208.483,0.2096775963234634,70000.0
70000.0,150.0,25,4813.19732,4813.24,0.18443941444285195,70000.0
70000.0,200.0,25,6416.069640000001,6416.0,0.4792111751617676,70000.0
70000.0,250.0,25,8023.6557999999995,8023.681,0.4936922928302471,70000.0
80000.0,50.0,25,1603.934,1603.883,0.3548110483059918,80000.0
80000.0,100.0,25,3207.24956,3207.168,0.828434092973003,80000.0
80000.0,150.0,25,4817.0418,4816.897,1.101413310251837,80000.0
80000.0,200.0,25,6427.809839999999,6427.61,0.9087157390515792,80000.0
80000.0,250.0,25,8031.7896,8031.73,0.45119086870194863,80000.0
90000.0,50.0,25,1598.12712,1598.114,0.19204756077599294,90000.0
90000.0,100.0,25,3208.9577600000002,3208.799,0.5856804097799654,90000.0
90000.0,150.0,25,4820.6713199999995,4820.579,0.33428738773693106,90000.0
90000.0,200.0,25,6429.34096,6429.311,0.3140656593771088,90000.0
90000.0,250.0,25,8036.31088,8036.318,0.36778040404569945,90000.0
100000.0,50.0,25,1608.13192,1607.315,3.1678727489594785,100000.0
100000.0,100.0,25,3214.32364,3214.378,2.3738975526336556,100000.0
100000.0,150.0,25,4830.74708,4830.742,2.4233968213233155,100000.0
100000.0,200.0,25,6435.58412,6436.533,2.1919537827244895,100000.0
100000.0,250.0,25,8044.647,8044.612,2.2132930940117124,100000.0
110000.0,50.0,25,1594.60296,1594.539,0.3343126058047942,110000.0
110000.0,100.0,25,3197.98008,3198.07,0.3102498244962797,110000.0
110000.0,150.0,25,4793.40056,4793.375,0.3275918289579427,110000.0
110000.0,200.0,25,6394.4938,6394.576,0.4961453819194487,110000.0
110000.0,250.0,25,7998.71764,7998.714,0.40554031908063637,110000.0
120000.0,50.0,25,1600.78448,1600.969,0.7368288333120604,120000.0
120000.0,100.0,25,3199.92964,3199.998,0.7229683744120635,120000.0
120000.0,150.0,25,4798.2775599999995,4798.332,0.509460740783925,120000.0
120000.0,200.0,25,6401.676799999999,6401.686,0.4213208753432835,120000.0
120000.0,250.0,25,7999.17584,7999.088,0.5034495152444765,120000.0
130000.0,50.0,25,1597.8341200000002,1597.829,0.2389959531038017,130000.0
130000.0,100.0,25,3197.89688,3197.956,0.31813925504407925,130000.0
130000.0,150.0,25,4801.5964,4801.629,0.32422017210541515,130000.0
130000.0,200.0,25,6400.90428,6400.854,0.40234975034163717,130000.0
130000.0,250.0,25,8002.1596,8002.164,0.35725833790123346,130000.0
140000.0,50.0,25,1604.6484400000002,1604.739,0.2651060285998815,140000.0
140000.0,100.0,25,3197.59956,3197.487,0.4071871392861059,140000.0
140000.0,150.0,25,4800.67456,4800.626,0.38707881161329244,140000.0
140000.0,200.0,25,6400.77552,6400.805,0.369629449043224,140000.0
140000.0,250.0,25,8007.5145999999995,8007.487,0.47071205635713176,140000.0
150000.0,50.0,25,1602.81452,1602.407,1.9073466202030769,150000.0
150000.0,100.0,25,3200.89648,3200.427,1.532927294296747,150000.0
150000.0,150.0,25,4801.62896,4801.752,1.5713646675422246,150000.0
150000.0,200.0,25,6403.00528,6403.03,1.2610724807083165,150000.0
150000.0,250.0,25,8003.845679999999,8003.778,1.1106175478534777,150000.0
