harmonic,frequency_hz,target_vpp_mv,companion,measured_vpp_mv,error_vpp_mv
2,100000,50,8,49.993,-0.007
2,100000,70,8,70.055,0.055
2,100000,100,8,100.000,0.000
2,100000,70,7,70.051,0.051
3,150000,50,8,50.903,0.903
3,150000,70,8,71.276,1.276
3,150000,100,8,101.892,1.892
3,150000,70,7,71.274,1.274
4,200000,50,8,50.887,0.887
4,200000,70,8,71.261,1.261
4,200000,100,8,101.857,1.857
4,200000,70,7,71.239,1.239
5,250000,50,8,51.055,1.055
5,250000,70,8,71.340,1.340
5,250000,100,8,101.848,1.848
5,250000,70,7,71.369,1.369
6,300000,50,8,50.977,0.977
6,300000,70,8,71.385,1.385
6,300000,100,8,101.970,1.970
6,300000,70,7,71.392,1.392
7,350000,50,8,51.019,1.019
7,350000,70,8,71.394,1.394
7,350000,100,8,102.034,2.034
7,350000,70,3,71.407,1.407
8,400000,50,2,51.007,1.007
8,400000,70,2,71.370,1.370
8,400000,100,2,102.024,2.024
8,400000,70,7,71.402,1.402
