n1,n2,phase1_deg,phase2_deg,k_h1,k_n1,k_n2
2,3,0,0,1.002300,1.000783,1.033675
2,3,45,135,0.664633,0.669917,0.688600
2,3,90,180,0.628450,0.632533,0.654825
2,3,135,45,1.118608,1.116867,1.139825
2,3,180,90,1.246600,1.242667,1.262425
2,3,270,270,1.256617,1.252400,1.273450
2,4,0,0,1.002217,1.001350,1.030950
2,4,45,135,0.822175,0.823133,0.849775
2,4,90,180,0.779458,0.781367,0.805850
2,4,135,45,0.822700,0.823317,0.850550
2,4,180,90,0.948325,0.948317,0.977025
2,4,270,270,1.177783,1.173950,1.197950
2,7,0,0,1.002442,1.000983,1.030225
2,7,45,135,0.887350,0.885383,0.913550
2,7,90,180,0.739283,0.741217,0.760575
2,7,135,45,0.851700,0.851417,0.875925
2,7,180,90,0.980633,0.979467,1.009875
2,7,270,270,1.245358,1.240217,1.265225
3,5,0,0,1.002808,1.017017,1.033500
3,5,45,135,1.002633,1.017967,1.034200
3,5,90,180,1.002408,1.016850,1.033100
3,5,135,45,1.002475,1.017467,1.032850
3,5,180,90,1.001983,1.017033,1.032400
3,5,270,270,1.002742,1.018233,1.033050
3,8,0,0,1.002483,1.017017,1.031625
3,8,45,135,1.077858,1.094017,1.103075
3,8,90,180,1.020383,1.035583,1.047350
3,8,135,45,1.042042,1.057517,1.068675
3,8,180,90,1.099267,1.114850,1.123725
3,8,270,270,1.085625,1.101583,1.110775
4,7,0,0,1.001567,1.017517,1.028725
4,7,45,135,1.097558,1.113867,1.121375
4,7,90,180,1.114642,1.130683,1.138425
4,7,135,45,0.942450,0.957967,0.970700
4,7,180,90,0.924258,0.937600,0.953350
4,7,270,270,0.965583,0.979033,0.994375
6,8,0,0,1.002250,1.019383,1.030900
6,8,45,135,0.982767,0.999467,1.012100
6,8,90,180,1.008608,1.025900,1.036750
6,8,135,45,0.982683,1.000367,1.011150
6,8,180,90,0.956317,0.972900,0.986025
6,8,270,270,0.958200,0.974683,0.987725
