frequency_hz,vpp_mv,frames,codes_mean,codes_median,codes_stddev,measured_frequency_mean_hz
10000.0,50.0,10,1565.1637,1565.304,1.1430143524907728,10000.0
10000.0,100.0,10,3142.6448,3142.676,0.3086213861676359,10000.0
10000.0,150.0,10,4710.0857000000005,4710.0195,0.4394219043241498,10000.0
10000.0,200.0,10,6284.6636,6284.6815,0.17224703190475932,10000.0
10000.0,250.0,10,7862.3747,7862.358,0.45484899692085173,10000.0
20000.0,50.0,10,1581.8767,1582.0375,0.4368716172973512,20000.0
20000.0,100.0,10,3155.5675,3155.7025,0.4442286010603094,20000.0
20000.0,150.0,10,4719.9146,4719.995,0.44435755872949034,20000.0
20000.0,200.0,10,6287.5007,6287.5135,0.32660068891528343,20000.0
20000.0,250.0,10,7857.6586,7857.7705000000005,0.35266817264957623,20000.0
30000.0,50.0,10,1587.1437,1587.114,0.11278213511008589,30000.0
30000.0,100.0,10,3149.6693,3149.6605,0.20705991886413821,30000.0
30000.0,150.0,10,4709.0617,4709.021000000001,0.353342907103105,30000.0
30000.0,200.0,10,6272.7046,6272.7585,0.1838788731748055,30000.0
30000.0,250.0,10,7856.539,7855.821,1.363532324516028,30000.0
40000.0,50.0,10,1583.9155999999998,1583.876,0.3765339825301092,40000.0
40000.0,100.0,10,3137.459,3137.3145000000004,0.4498713149334754,40000.0
40000.0,150.0,10,4716.1306,4716.5869999999995,1.5599459093188195,40000.0
40000.0,200.0,10,6287.2468,6287.559499999999,0.8877922955286596,40000.0
40000.0,250.0,10,7855.0618,7854.8665,1.6559078959893911,40000.0
50000.0,50.0,10,1576.7486000000001,1576.5994999999998,0.6229346996274775,50000.0
50000.0,100.0,10,3146.1476000000002,3147.0460000000003,5.167579998413165,50000.0
50000.0,150.0,10,4713.7859,4713.923,2.672363427754494,50000.0
50000.0,200.0,10,6297.0151,6297.1630000000005,1.6092938482451908,50000.0
50000.0,250.0,10,7868.7687000000005,7869.6295,6.421269999774206,50000.0
60000.0,50.0,10,1566.2444,1566.224,0.21878903080368067,60000.0
60000.0,100.0,10,3142.9024,3142.9365,0.5160552683580503,60000.0
60000.0,150.0,10,4728.2248,4728.323,0.7778098482276817,60000.0
60000.0,200.0,10,6301.2481,6301.456,0.8773564213021591,60000.0
60000.0,250.0,10,7878.7336,7878.683,0.7468061595889285,60000.0
70000.0,50.0,10,1577.3211,1577.3625,0.2428091637479652,70000.0
70000.0,100.0,10,3153.0969,3153.1045,0.2311793459632956,70000.0
70000.0,150.0,10,4731.6702,4731.612999999999,0.3947482235551295,70000.0
70000.0,200.0,10,6305.648999999999,6305.6355,0.2927005295519929,70000.0
70000.0,250.0,10,7882.789699999999,7882.735000000001,0.2508633293250512,70000.0
80000.0,50.0,10,1577.5444,1577.6105,0.8442022506485473,80000.0
80000.0,100.0,10,3153.2576999999997,3153.2055,1.2053085123734215,80000.0
80000.0,150.0,10,4737.371499999999,4737.5555,2.018167250254525,80000.0
80000.0,200.0,10,6315.7447,6315.851500000001,0.4045919055048467,80000.0
80000.0,250.0,10,7894.600200000001,7894.7075,0.5981880640735402,80000.0
90000.0,50.0,10,1573.6066,1573.5445,0.266847222207785,90000.0
90000.0,100.0,10,3153.9921999999997,3154.0035,0.2232020609223465,90000.0
90000.0,150.0,10,4742.659900000001,4742.677,0.15534828611869714,90000.0
90000.0,200.0,10,6323.2472,6323.42,0.43070727878692583,90000.0
90000.0,250.0,10,7902.5,7903.021000000001,1.4962874055475008,90000.0
100000.0,50.0,10,1585.2622,1584.9465,1.6417441213538624,100000.0
100000.0,100.0,10,3160.3962,3160.83,2.955032412681788,100000.0
100000.0,150.0,10,4748.9907,4749.710999999999,3.6123568220760065,100000.0
100000.0,200.0,10,6328.063700000001,6327.6475,1.4906760915771526,100000.0
100000.0,250.0,10,7907.283100000001,7907.142,1.7661385817652762,100000.0
110000.0,50.0,10,1581.8304,1581.933,0.3057790705721748,110000.0
110000.0,100.0,10,3164.1768,3164.1684999999998,0.20969349059997874,110000.0
110000.0,150.0,10,4753.0214,4753.0105,0.2582375650444423,110000.0
110000.0,200.0,10,6334.989,6334.8835,0.4503281026097594,110000.0
110000.0,250.0,10,7916.8526,7916.851000000001,0.35780866395318445,110000.0
120000.0,50.0,10,1586.1821,1586.0529999999999,0.8258890300760542,120000.0
120000.0,100.0,10,3164.6146,3164.4115,0.649373421076019,120000.0
120000.0,150.0,10,4755.2074,4755.4365,1.1026410295286728,120000.0
120000.0,200.0,10,6339.2003,6339.2245,0.7692618604869006,120000.0
120000.0,250.0,10,7916.572900000001,7916.529500000001,0.6153026003521581,120000.0
130000.0,50.0,10,1584.5157,1584.5635,0.23041312896621663,130000.0
130000.0,100.0,10,3161.4402,3161.411,0.1941802255636912,130000.0
130000.0,150.0,10,4758.2164,4758.1445,0.39080000000012327,130000.0
130000.0,200.0,10,6337.4499000000005,6337.3855,0.27677552276173817,130000.0
130000.0,250.0,10,7919.9845000000005,7919.975,0.2833214605355558,130000.0
140000.0,50.0,10,1591.0076999999999,1591.116,0.6013809192184333,140000.0
140000.0,100.0,10,3162.2397,3162.5564999999997,0.8987430166626375,140000.0
140000.0,150.0,10,4758.3752,4758.371499999999,1.0056327162537562,140000.0
140000.0,200.0,10,6335.884599999999,6336.0605,0.6077065410212419,140000.0
140000.0,250.0,10,7921.493799999999,7921.5895,0.781708104089871,140000.0
150000.0,50.0,10,1588.1311,1587.3675,2.857571852115022,150000.0
150000.0,100.0,10,3162.063,3161.124,2.0883684061965857,150000.0
150000.0,150.0,10,4755.6196,4755.603499999999,1.0153515844277428,150000.0
150000.0,200.0,10,6336.3151,6336.09,0.9162910509220746,150000.0
150000.0,250.0,10,7917.1347,7917.6005000000005,1.4723035726369438,150000.0
160000.0,50.0,10,1586.5997,1586.5985,0.47662229280633683,160000.0
160000.0,100.0,10,3163.2490000000003,3163.2219999999998,0.7256787167886634,160000.0
160000.0,150.0,10,4751.0953,4751.2095,0.6437589688695834,160000.0
160000.0,200.0,10,6331.6731,6331.698,0.6676820276149423,160000.0
160000.0,250.0,10,7911.0771,7910.978499999999,0.3587206294598257,160000.0
170000.0,50.0,10,1582.7487,1582.7505,0.16778739523575528,170000.0
170000.0,100.0,10,3157.5072,3157.553,0.1518774505975686,170000.0
170000.0,150.0,10,4749.257,4749.2175,0.3021675032161934,170000.0
170000.0,200.0,10,6322.3659,6322.1755,0.5589034710930604,170000.0
170000.0,250.0,10,7901.9274000000005,7901.9105,0.43476434996447677,170000.0
180000.0,50.0,10,1577.0407,1577.009,0.4731566442521367,180000.0
180000.0,100.0,10,3151.7961999999998,3151.5995000000003,0.49130739868226614,180000.0
180000.0,150.0,10,4741.864,4741.899,0.4325355476721876,180000.0
180000.0,200.0,10,6316.1412,6316.469,0.8221284327887716,180000.0
180000.0,250.0,10,7892.2426,7892.268,0.4685260291596319,180000.0
190000.0,50.0,10,1580.4576000000002,1580.4630000000002,0.32128809501752964,190000.0
190000.0,100.0,10,3145.8819,3145.759,0.37976478246412804,190000.0
190000.0,150.0,10,4735.038,4735.118,0.4097130703309201,190000.0
190000.0,200.0,10,6304.965999999999,6304.8775000000005,0.28908718408117107,190000.0
190000.0,250.0,10,7880.7814,7880.753500000001,0.39545523134740423,190000.0
200000.0,50.0,10,1577.3136,1578.0140000000001,5.139701143062725,200000.0
200000.0,100.0,10,3141.2259000000004,3142.0240000000003,4.156287296373997,200000.0
200000.0,150.0,10,4727.9504,4728.529500000001,2.7962932321199783,200000.0
200000.0,200.0,10,6296.8147,6297.533,2.5941199683129597,200000.0
200000.0,250.0,10,7866.4938999999995,7865.92,2.0472225306496283,200000.0
210000.0,50.0,10,1572.3079,1572.219,0.3112302845161663,210000.0
210000.0,100.0,10,3136.564,3136.621,0.30154634801304264,210000.0
210000.0,150.0,10,4717.5078,4717.6785,0.6922811278663498,210000.0
210000.0,200.0,10,6282.1954,6282.1945,0.27748700870497556,210000.0
210000.0,250.0,10,7849.683800000001,7849.620000000001,0.31463273828388816,210000.0
220000.0,50.0,10,1569.6511999999998,1569.6775,0.1902323842041552,220000.0
220000.0,100.0,10,3130.0425,3130.2385,0.440534050897304,220000.0
220000.0,150.0,10,4707.604,4707.6835,0.4196036224820807,220000.0
220000.0,200.0,10,6267.7792,6267.7735,0.5707911702189187,220000.0
220000.0,250.0,10,7833.1389,7833.0755,0.29858313750105114,220000.0
230000.0,50.0,10,1565.5192000000002,1565.5405,0.1629489490607332,230000.0
230000.0,100.0,10,3120.2025999999996,3120.2200000000003,0.2922157422179896,230000.0
230000.0,150.0,10,4696.8383,4696.906,0.4401422610929789,230000.0
230000.0,200.0,10,6254.3923,6254.3805,0.39438256807320765,230000.0
230000.0,250.0,10,7815.0622,7815.0935,0.35150413937813757,230000.0
240000.0,50.0,10,1565.2459,1565.277,0.39059991039425096,240000.0
240000.0,100.0,10,3113.0667999999996,3113.1495,0.3334323919477132,240000.0
240000.0,150.0,10,4687.4205999999995,4687.407499999999,0.6481680646252842,240000.0
240000.0,200.0,10,6241.3134,6241.168,0.40272129320413913,240000.0
